time      	proj_id   	c_fixed   	c_low     	c_high    	d_low     	d_high    	disc_rate 	b_t_enpv  	o_income  	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
2025-10-16 17:10:44	014       	-5000     	-40000    	-1000     	1         	15        	0.1       	5000      	100000    	lh        	41036.6744	0         	0         	5000.0    	28711.2335729	28.26235638	42.07380542	-8761.64024915	-14600.78367469	-23362.42392384
2025-10-16 17:10:44	014       	-5000     	-40000    	-1000     	1         	15        	0.1       	5000      	100000    	tm        	20646.2598	0.75      	197.1773  	5000.0    	28711.2335729	5.06451165	43.3842326	-5007.84912518	-15861.07736617	-20868.92649135
2025-10-16 17:10:42	013       	-5000     	-40000    	-1000     	1         	6         	0.1       	5000      	100000    	ls        	34543.9267	0         	0         	5000.0    	46608.09932877	32.37321046	29.38311267	-12445.13816421	-9775.64821373	-22220.78637794
2025-10-16 17:10:42	013       	-5000     	-40000    	-1000     	1         	6         	0.1       	5000      	100000    	cp        	13548.5759	0.8233    	0         	5000.0    	46608.09932877	0         	32.72658431	-3070.43060643	-14310.70565046	-17381.13625689
2025-10-16 17:10:42	013       	-5000     	-40000    	-1000     	1         	6         	0.1       	5000      	100000    	lh        	34543.9267	0         	0         	5000.0    	46608.09932877	32.37321046	29.38311267	-12445.13816421	-9775.64821373	-22220.78637794
2025-10-16 17:10:42	013       	-5000     	-40000    	-1000     	1         	6         	0.1       	5000      	100000    	tm        	10634.7602	0.875     	484.9361  	5000.0    	46608.09932877	0         	34.01518742	-2108.42341592	-15272.71284097	-17381.13625688
2025-10-16 17:10:41	012       	-5000     	-40000    	-1000     	1         	3         	0.1       	5000      	100000    	ls        	32693.6946	0         	0         	5000.0    	55197.63094831	34.41923755	3.35695501	-14378.07152408	-4834.77474427	-19212.84626836
2025-10-16 17:10:41	012       	-5000     	-40000    	-1000     	1         	3         	0.1       	5000      	100000    	cp        	11104.8703	0.8466    	0         	5000.0    	55197.63094831	0         	32.153651 	-2375.2575005	-13110.88860694	-15486.14610744
2025-10-16 17:10:41	012       	-5000     	-40000    	-1000     	1         	3         	0.1       	5000      	100000    	lh        	32693.6946	0         	0         	5000.0    	55197.63094831	34.41923755	3.35695501	-14378.07152408	-4834.77474427	-19212.84626836
2025-10-16 17:10:41	012       	-5000     	-40000    	-1000     	1         	3         	0.1       	5000      	100000    	tm        	9924.511  	0.875     	232.2094  	5000.0    	55197.63094831	0         	32.75514029	-1933.22140979	-13552.92469766	-15486.14610744
2025-10-16 17:10:40	011       	-5000     	-100000   	-1000     	1         	10        	0.1       	5000      	100000    	ls        	67261.0882	0         	0         	5000.0    	19532.68872755	42.12185768	20.87068586	-26731.56066783	-6934.35786035	-33665.91852818
2025-10-16 17:10:40	011       	-5000     	-100000   	-1000     	1         	10        	0.1       	5000      	100000    	cp        	34307.9632	0.5938    	0         	5000.0    	19532.68872755	30.60764966	38.61658571	-10746.14484278	-16024.79949922	-26770.944342
2025-10-16 17:10:40	011       	-5000     	-100000   	-1000     	1         	10        	0.1       	5000      	100000    	lh        	67261.0882	0         	0         	5000.0    	19532.68872755	42.12185768	20.87068586	-26731.56066783	-6934.35786035	-33665.91852818
2025-10-16 17:10:40	011       	-5000     	-100000   	-1000     	1         	10        	0.1       	5000      	100000    	tm        	21426.5175	0.75      	870.8363  	5000.0    	19532.68872755	16.14387914	41.7693142	-6538.82728274	-20232.11705926	-26770.94434201
