type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.55-0.21 	18498.0649	0.55      	1017.2255 	5106.90467225	5106.90467225	1.29453284	14.01936023	-4683.67280722	-6484.69092286	-11168.36373007	-4983.25494429	-6978.53420747	-11961.78915175
tm        	0.55-0.22 	18263.9122	0.55      	1065.6648 	5106.90467225	5106.90467225	1.48984104	14.29992386	-4665.67210683	-6544.87683769	-11210.54894452	-5001.65712146	-7048.45020446	-12050.10732593
tm        	0.55-0.23 	18029.7595	0.55      	1114.1041 	5106.90467225	5106.90467225	1.71461591	14.58520581	-4647.67140643	-6605.99684043	-11253.66824686	-5029.73672259	-7119.03121635	-12148.76793894
tm        	0.55-0.24 	17795.6068	0.55      	1162.5434 	5106.90467225	5106.90467225	1.93955383	14.87461629	-4629.67070604	-6667.97665257	-11297.64735861	-5067.4838861	-7190.22294424	-12257.70683033
tm        	0.55-0.25 	17561.454 	0.55      	1210.9827 	5106.90467225	5106.90467225	2.16459826	15.16765987	-4611.67000565	-6730.75114323	-11342.42114888	-5114.90945935	-7261.9779519	-12376.88741125
tm        	0.55-0.26 	17327.3013	0.55      	1259.422  	5106.90467225	5106.90467225	2.38971593	15.46391735	-4593.66930525	-6794.26284611	-11387.93215137	-5171.99099379	-7334.2545251	-12506.24551889
tm        	0.55-0.27 	17093.1486	0.55      	1307.8613 	5106.90467225	5106.90467225	2.61488602	15.76303164	-4576.72796369	-6858.46076918	-11435.18873287	-5238.75387959	-7407.01576149	-12645.76964108
tm        	0.55-0.28 	16858.9959	0.55      	1356.3006 	5106.90467225	5106.90467225	2.84009491	16.06469664	-4592.52102639	-6923.29942983	-11515.82045623	-5314.08944082	-7480.22883695	-12794.31827777
tm        	0.55-0.29 	16624.8432	0.55      	1404.7399 	5106.90467225	5106.90467225	3.06533329	16.3686485	-4623.99052071	-6988.73806591	-11612.72858662	-5394.2989421	-7553.86440852	-12948.16335061
tm        	0.55-0.3  	16390.6904	0.55      	1453.1792 	5106.90467225	5106.90467225	3.29059459	16.67465851	-4663.30604889	-7054.73998496	-11718.04603385	-5478.25710848	-7627.89612435	-13106.15323283
tm        	0.55-0.31 	16156.5377	0.55      	1501.6185 	5106.90467225	5106.90467225	3.51587407	16.98252751	-4708.69008447	-7121.27202362	-11829.96210809	-5565.39488532	-7702.30021814	-13267.69510346
tm        	0.55-0.32 	15922.385 	0.55      	1550.0579 	5106.90467225	5106.90467225	3.74116819	17.29208122	-4759.08285191	-7188.30409524	-11947.38694715	-5655.30545687	-7777.05517116	-13432.36062803
tm        	0.55-0.33 	15688.2323	0.55      	1598.4972 	5106.90467225	5106.90467225	3.96647429	17.60316648	-4813.75835005	-7255.80880878	-12069.56715883	-5747.67678487	-7852.14142858	-13599.81821344
tm        	0.55-0.34 	15454.0795	0.55      	1646.9365 	5106.90467225	5106.90467225	4.1917903 	17.91564816	-4872.17998082	-7323.76114592	-12195.94112675	-5842.25945523	-7927.54115985	-13769.80061508
tm        	0.55-0.35 	15219.9268	0.55      	1695.3758 	5106.90467225	5106.90467225	4.41711461	18.22940655	-4933.93141901	-7392.13818593	-12326.06960494	-5938.8484722	-8003.23805523	-13942.08652743
tm        	0.55-0.36 	14985.7741	0.55      	1743.8151 	5106.90467225	5106.90467225	4.64244593	18.54433528	-4998.67852456	-7460.91886983	-12459.59739438	-6037.27186373	-8079.21715187	-14116.4890156
